new_tx_ids,unknown_a,unknown_b
"1-16,1-18",1-10,1-14
"1-16,1-18",1-10,1-15
"1-16,1-18",1-10,1-19
"1-16,1-18",1-10,1-2
"1-16,1-18",1-10,1-8
"1-16,1-18",1-10,10-1
"1-16,1-18",1-10,10-10
"1-16,1-18",1-10,10-11
"1-16,1-18",1-10,10-17
"1-16,1-18",1-10,10-4
"1-16,1-18",1-10,10-7
"1-16,1-18",1-10,11-1
"1-16,1-18",1-10,11-10
"1-16,1-18",1-10,11-17
"1-16,1-18",1-10,11-19
"1-16,1-18",1-10,11-20
"1-16,1-18",1-10,11-4
"1-16,1-18",1-10,11-7
"1-16,1-18",1-10,12-19
"1-16,1-18",1-10,12-20
"1-16,1-18",1-10,12-7
"1-16,1-18",1-10,13-14
"1-16,1-18",1-10,13-19
"1-16,1-18",1-10,13-20
"1-16,1-18",1-10,13-3
"1-16,1-18",1-10,13-7
"1-16,1-18",1-10,14-11
"1-16,1-18",1-10,14-12
"1-16,1-18",1-10,14-13
"1-16,1-18",1-10,14-14
"1-16,1-18",1-10,14-20
"1-16,1-18",1-10,14-8
"1-16,1-18",1-10,14-9
"1-16,1-18",1-10,15-1
"1-16,1-18",1-10,15-19
"1-16,1-18",1-10,15-6
"1-16,1-18",1-10,16-1
"1-16,1-18",1-10,16-16
"1-16,1-18",1-10,16-19
"1-16,1-18",1-10,16-20
"1-16,1-18",1-10,16-5
"1-16,1-18",1-10,17-10
"1-16,1-18",1-10,17-11
"1-16,1-18",1-10,18-1
"1-16,1-18",1-10,18-10
"1-16,1-18",1-10,18-11
"1-16,1-18",1-10,18-12
"1-16,1-18",1-10,18-13
"1-16,1-18",1-10,18-14
"1-16,1-18",1-10,18-15
"1-16,1-18",1-10,18-16
"1-16,1-18",1-10,18-17
"1-16,1-18",1-10,18-2
"1-16,1-18",1-10,18-20
"1-16,1-18",1-10,18-4
"1-16,1-18",1-10,18-5
"1-16,1-18",1-10,18-7
"1-16,1-18",1-10,18-8
"1-16,1-18",1-10,18-9
"1-16,1-18",1-10,19-1
"1-16,1-18",1-10,19-10
"1-16,1-18",1-10,19-11
"1-16,1-18",1-10,19-12
"1-16,1-18",1-10,19-13
"1-16,1-18",1-10,19-14
"1-16,1-18",1-10,19-19
"1-16,1-18",1-10,19-20
"1-16,1-18",1-10,19-3
"1-16,1-18",1-10,19-4
"1-16,1-18",1-10,19-6
"1-16,1-18",1-10,19-7
"1-16,1-18",1-10,19-8
"1-16,1-18",1-10,19-9
"1-16,1-18",1-10,2-12
"1-16,1-18",1-10,2-13
"1-16,1-18",1-10,2-15
"1-16,1-18",1-10,2-16
"1-16,1-18",1-10,2-19
"1-16,1-18",1-10,2-20
"1-16,1-18",1-10,2-3
"1-16,1-18",1-10,2-4
"1-16,1-18",1-10,2-5
"1-16,1-18",1-10,2-6
"1-16,1-18",1-10,2-7
"1-16,1-18",1-10,2-8
"1-16,1-18",1-10,20-12
"1-16,1-18",1-10,20-14
"1-16,1-18",1-10,20-16
"1-16,1-18",1-10,20-18
"1-16,1-18",1-10,20-20
"1-16,1-18",1-10,20-3
"1-16,1-18",1-10,20-4
"1-16,1-18",1-10,20-5
"1-16,1-18",1-10,20-7
"1-16,1-18",1-10,20-8
"1-16,1-18",1-10,3-1
"1-16,1-18",1-10,3-13
"1-16,1-18",1-10,3-18
"1-16,1-18",1-10,3-2
"1-16,1-18",1-10,3-8
"1-16,1-18",1-10,4-1
"1-16,1-18",1-10,4-10
"1-16,1-18",1-10,4-11
"1-16,1-18",1-10,5-1
"1-16,1-18",1-10,5-5
"1-16,1-18",1-10,6-1
"1-16,1-18",1-10,6-6
"1-16,1-18",1-10,7-10
"1-16,1-18",1-10,7-11
"1-16,1-18",1-10,7-20
"1-16,1-18",1-10,7-7
"1-16,1-18",1-10,8-1
"1-16,1-18",1-10,8-13
"1-16,1-18",1-10,8-18
"1-16,1-18",1-10,8-3
"1-16,1-18",1-10,8-7
"1-16,1-18",1-10,8-8
"1-16,1-18",1-10,9-1
"1-16,1-18",1-10,9-20
"1-16,1-18",1-11,1-12
"1-16,1-18",1-11,1-14
"1-16,1-18",1-11,1-15
"1-16,1-18",1-11,1-19
"1-16,1-18",1-11,1-2
"1-16,1-18",1-11,1-8
"1-16,1-18",1-11,10-1
"1-16,1-18",1-11,10-10
"1-16,1-18",1-11,10-11
"1-16,1-18",1-11,10-17
"1-16,1-18",1-11,10-4
"1-16,1-18",1-11,10-7
"1-16,1-18",1-11,11-1
"1-16,1-18",1-11,11-10
"1-16,1-18",1-11,11-17
"1-16,1-18",1-11,11-19
"1-16,1-18",1-11,11-20
"1-16,1-18",1-11,11-4
"1-16,1-18",1-11,11-7
"1-16,1-18",1-11,12-19
"1-16,1-18",1-11,12-20
"1-16,1-18",1-11,12-7
"1-16,1-18",1-11,13-14
"1-16,1-18",1-11,13-19
"1-16,1-18",1-11,13-20
"1-16,1-18",1-11,13-3
"1-16,1-18",1-11,13-7
"1-16,1-18",1-11,14-11
"1-16,1-18",1-11,14-12
"1-16,1-18",1-11,14-13
"1-16,1-18",1-11,14-14
"1-16,1-18",1-11,14-20
"1-16,1-18",1-11,14-8
"1-16,1-18",1-11,14-9
"1-16,1-18",1-11,15-1
"1-16,1-18",1-11,15-19
"1-16,1-18",1-11,15-6
"1-16,1-18",1-11,16-1
"1-16,1-18",1-11,16-16
"1-16,1-18",1-11,16-19
"1-16,1-18",1-11,16-20
"1-16,1-18",1-11,16-5
"1-16,1-18",1-11,17-10
"1-16,1-18",1-11,17-11
"1-16,1-18",1-11,18-1
"1-16,1-18",1-11,18-10
"1-16,1-18",1-11,18-11
"1-16,1-18",1-11,18-12
"1-16,1-18",1-11,18-13
"1-16,1-18",1-11,18-14
"1-16,1-18",1-11,18-15
"1-16,1-18",1-11,18-16
"1-16,1-18",1-11,18-17
"1-16,1-18",1-11,18-2
"1-16,1-18",1-11,18-20
"1-16,1-18",1-11,18-4
"1-16,1-18",1-11,18-5
"1-16,1-18",1-11,18-7
"1-16,1-18",1-11,18-8
"1-16,1-18",1-11,18-9
"1-16,1-18",1-11,19-1
"1-16,1-18",1-11,19-10
"1-16,1-18",1-11,19-11
"1-16,1-18",1-11,19-12
"1-16,1-18",1-11,19-13
"1-16,1-18",1-11,19-14
"1-16,1-18",1-11,19-19
"1-16,1-18",1-11,19-20
"1-16,1-18",1-11,19-3
"1-16,1-18",1-11,19-4
"1-16,1-18",1-11,19-6
"1-16,1-18",1-11,19-7
"1-16,1-18",1-11,19-8
"1-16,1-18",1-11,19-9
"1-16,1-18",1-11,2-12
"1-16,1-18",1-11,2-13
"1-16,1-18",1-11,2-15
"1-16,1-18",1-11,2-16
"1-16,1-18",1-11,2-19
"1-16,1-18",1-11,2-20
"1-16,1-18",1-11,2-3
"1-16,1-18",1-11,2-4
"1-16,1-18",1-11,2-5
"1-16,1-18",1-11,2-6
"1-16,1-18",1-11,2-7
"1-16,1-18",1-11,2-8
"1-16,1-18",1-11,20-12
"1-16,1-18",1-11,20-14
"1-16,1-18",1-11,20-16
"1-16,1-18",1-11,20-18
"1-16,1-18",1-11,20-20
"1-16,1-18",1-11,20-3
"1-16,1-18",1-11,20-4
"1-16,1-18",1-11,20-5
"1-16,1-18",1-11,20-7
"1-16,1-18",1-11,20-8
"1-16,1-18",1-11,3-1
"1-16,1-18",1-11,3-13
"1-16,1-18",1-11,3-18
"1-16,1-18",1-11,3-2
"1-16,1-18",1-11,3-8
"1-16,1-18",1-11,4-1
"1-16,1-18",1-11,4-10
"1-16,1-18",1-11,4-11
"1-16,1-18",1-11,5-1
"1-16,1-18",1-11,5-5
"1-16,1-18",1-11,6-1
"1-16,1-18",1-11,6-6
"1-16,1-18",1-11,7-10
"1-16,1-18",1-11,7-11
"1-16,1-18",1-11,7-20
"1-16,1-18",1-11,7-7
"1-16,1-18",1-11,8-1
"1-16,1-18",1-11,8-13
"1-16,1-18",1-11,8-18
"1-16,1-18",1-11,8-3
"1-16,1-18",1-11,8-7
"1-16,1-18",1-11,8-8
"1-16,1-18",1-11,9-1
"1-16,1-18",1-11,9-20
"1-16,1-18",1-12,1-14
"1-16,1-18",1-12,1-15
"1-16,1-18",1-12,1-19
"1-16,1-18",1-12,1-2
"1-16,1-18",1-12,1-8
"1-16,1-18",1-12,10-1
"1-16,1-18",1-12,10-10
"1-16,1-18",1-12,10-11
"1-16,1-18",1-12,10-17
"1-16,1-18",1-12,10-4
"1-16,1-18",1-12,10-7
"1-16,1-18",1-12,11-1
"1-16,1-18",1-12,11-10
"1-16,1-18",1-12,11-17
"1-16,1-18",1-12,11-19
"1-16,1-18",1-12,11-20
"1-16,1-18",1-12,11-4
"1-16,1-18",1-12,11-7
"1-16,1-18",1-12,12-19
"1-16,1-18",1-12,12-20
"1-16,1-18",1-12,12-7
"1-16,1-18",1-12,13-14
"1-16,1-18",1-12,13-19
"1-16,1-18",1-12,13-20
"1-16,1-18",1-12,13-3
"1-16,1-18",1-12,13-7
"1-16,1-18",1-12,14-11
"1-16,1-18",1-12,14-12
"1-16,1-18",1-12,14-13
"1-16,1-18",1-12,14-14
"1-16,1-18",1-12,14-20
"1-16,1-18",1-12,14-8
"1-16,1-18",1-12,14-9
"1-16,1-18",1-12,15-1
"1-16,1-18",1-12,15-19
"1-16,1-18",1-12,15-6
"1-16,1-18",1-12,16-1
"1-16,1-18",1-12,16-16
"1-16,1-18",1-12,16-19
"1-16,1-18",1-12,16-20
"1-16,1-18",1-12,16-5
"1-16,1-18",1-12,17-10
"1-16,1-18",1-12,17-11
"1-16,1-18",1-12,18-1
"1-16,1-18",1-12,18-10
"1-16,1-18",1-12,18-11
"1-16,1-18",1-12,18-12
"1-16,1-18",1-12,18-13
"1-16,1-18",1-12,18-14
"1-16,1-18",1-12,18-15
"1-16,1-18",1-12,18-16
"1-16,1-18",1-12,18-17
"1-16,1-18",1-12,18-2
"1-16,1-18",1-12,18-20
"1-16,1-18",1-12,18-4
"1-16,1-18",1-12,18-5
"1-16,1-18",1-12,18-7
"1-16,1-18",1-12,18-8
"1-16,1-18",1-12,18-9
"1-16,1-18",1-12,19-1
"1-16,1-18",1-12,19-10
"1-16,1-18",1-12,19-11
"1-16,1-18",1-12,19-12
"1-16,1-18",1-12,19-13
"1-16,1-18",1-12,19-14
"1-16,1-18",1-12,19-19
"1-16,1-18",1-12,19-20
"1-16,1-18",1-12,19-3
"1-16,1-18",1-12,19-4
"1-16,1-18",1-12,19-6
"1-16,1-18",1-12,19-7
"1-16,1-18",1-12,19-8
"1-16,1-18",1-12,19-9
"1-16,1-18",1-12,2-12
"1-16,1-18",1-12,2-13
"1-16,1-18",1-12,2-15
"1-16,1-18",1-12,2-16
"1-16,1-18",1-12,2-19
"1-16,1-18",1-12,2-20
"1-16,1-18",1-12,2-3
"1-16,1-18",1-12,2-4
"1-16,1-18",1-12,2-5
"1-16,1-18",1-12,2-6
"1-16,1-18",1-12,2-7
"1-16,1-18",1-12,2-8
"1-16,1-18",1-12,20-12
"1-16,1-18",1-12,20-14
"1-16,1-18",1-12,20-16
"1-16,1-18",1-12,20-18
"1-16,1-18",1-12,20-20
"1-16,1-18",1-12,20-3
"1-16,1-18",1-12,20-4
"1-16,1-18",1-12,20-5
"1-16,1-18",1-12,20-7
"1-16,1-18",1-12,20-8
"1-16,1-18",1-12,3-1
"1-16,1-18",1-12,3-13
"1-16,1-18",1-12,3-18
"1-16,1-18",1-12,3-2
"1-16,1-18",1-12,3-8
"1-16,1-18",1-12,4-1
"1-16,1-18",1-12,4-10
"1-16,1-18",1-12,4-11
"1-16,1-18",1-12,5-1
"1-16,1-18",1-12,5-5
"1-16,1-18",1-12,6-1
"1-16,1-18",1-12,6-6
"1-16,1-18",1-12,7-10
"1-16,1-18",1-12,7-11
"1-16,1-18",1-12,7-20
"1-16,1-18",1-12,7-7
"1-16,1-18",1-12,8-1
"1-16,1-18",1-12,8-13
"1-16,1-18",1-12,8-18
"1-16,1-18",1-12,8-3
"1-16,1-18",1-12,8-7
"1-16,1-18",1-12,8-8
"1-16,1-18",1-12,9-1
"1-16,1-18",1-12,9-20
"1-16,1-18",1-14,1-15
"1-16,1-18",1-14,1-19
"1-16,1-18",1-14,1-2
"1-16,1-18",1-14,1-8
"1-16,1-18",1-14,10-1
"1-16,1-18",1-14,10-10
"1-16,1-18",1-14,10-11
"1-16,1-18",1-14,10-17
"1-16,1-18",1-14,10-4
"1-16,1-18",1-14,10-7
"1-16,1-18",1-14,11-1
"1-16,1-18",1-14,11-10
"1-16,1-18",1-14,11-17
"1-16,1-18",1-14,11-19
"1-16,1-18",1-14,11-20
"1-16,1-18",1-14,11-4
"1-16,1-18",1-14,11-7
"1-16,1-18",1-14,12-19
"1-16,1-18",1-14,12-20
"1-16,1-18",1-14,12-7
"1-16,1-18",1-14,13-14
"1-16,1-18",1-14,13-19
"1-16,1-18",1-14,13-20
"1-16,1-18",1-14,13-3
"1-16,1-18",1-14,13-7
"1-16,1-18",1-14,14-11
"1-16,1-18",1-14,14-12
"1-16,1-18",1-14,14-13
"1-16,1-18",1-14,14-14
"1-16,1-18",1-14,14-20
"1-16,1-18",1-14,14-8
"1-16,1-18",1-14,14-9
"1-16,1-18",1-14,15-1
"1-16,1-18",1-14,15-19
"1-16,1-18",1-14,15-6
"1-16,1-18",1-14,16-1
"1-16,1-18",1-14,16-16
"1-16,1-18",1-14,16-19
"1-16,1-18",1-14,16-20
"1-16,1-18",1-14,16-5
"1-16,1-18",1-14,17-10
"1-16,1-18",1-14,17-11
"1-16,1-18",1-14,18-1
"1-16,1-18",1-14,18-10
"1-16,1-18",1-14,18-11
"1-16,1-18",1-14,18-12
"1-16,1-18",1-14,18-13
"1-16,1-18",1-14,18-14
"1-16,1-18",1-14,18-15
"1-16,1-18",1-14,18-16
"1-16,1-18",1-14,18-17
"1-16,1-18",1-14,18-2
"1-16,1-18",1-14,18-20
"1-16,1-18",1-14,18-4
"1-16,1-18",1-14,18-5
"1-16,1-18",1-14,18-7
"1-16,1-18",1-14,18-8
"1-16,1-18",1-14,18-9
"1-16,1-18",1-14,19-1
"1-16,1-18",1-14,19-10
"1-16,1-18",1-14,19-11
"1-16,1-18",1-14,19-12
"1-16,1-18",1-14,19-13
"1-16,1-18",1-14,19-14
"1-16,1-18",1-14,19-19
"1-16,1-18",1-14,19-20
"1-16,1-18",1-14,19-3
"1-16,1-18",1-14,19-4
"1-16,1-18",1-14,19-6
"1-16,1-18",1-14,19-7
"1-16,1-18",1-14,19-8
"1-16,1-18",1-14,19-9
"1-16,1-18",1-14,2-12
"1-16,1-18",1-14,2-13
"1-16,1-18",1-14,2-15
"1-16,1-18",1-14,2-16
"1-16,1-18",1-14,2-19
"1-16,1-18",1-14,2-20
"1-16,1-18",1-14,2-3
"1-16,1-18",1-14,2-4
"1-16,1-18",1-14,2-5
"1-16,1-18",1-14,2-6
"1-16,1-18",1-14,2-7
"1-16,1-18",1-14,2-8
"1-16,1-18",1-14,20-12
"1-16,1-18",1-14,20-14
"1-16,1-18",1-14,20-16
"1-16,1-18",1-14,20-18
"1-16,1-18",1-14,20-20
"1-16,1-18",1-14,20-3
"1-16,1-18",1-14,20-4
"1-16,1-18",1-14,20-5
"1-16,1-18",1-14,20-7
"1-16,1-18",1-14,20-8
"1-16,1-18",1-14,3-1
"1-16,1-18",1-14,3-13
"1-16,1-18",1-14,3-18
"1-16,1-18",1-14,3-2
"1-16,1-18",1-14,3-8
"1-16,1-18",1-14,4-1
"1-16,1-18",1-14,4-10
"1-16,1-18",1-14,4-11
"1-16,1-18",1-14,5-1
"1-16,1-18",1-14,5-5
"1-16,1-18",1-14,6-1
"1-16,1-18",1-14,6-6
"1-16,1-18",1-14,7-10
"1-16,1-18",1-14,7-11
"1-16,1-18",1-14,7-20
"1-16,1-18",1-14,7-7
"1-16,1-18",1-14,8-1
"1-16,1-18",1-14,8-13
"1-16,1-18",1-14,8-18
"1-16,1-18",1-14,8-3
"1-16,1-18",1-14,8-7
"1-16,1-18",1-14,8-8
"1-16,1-18",1-14,9-1
"1-16,1-18",1-14,9-20
"1-16,1-18",1-15,1-19
"1-16,1-18",1-15,1-2
"1-16,1-18",1-15,1-8
"1-16,1-18",1-15,10-1
"1-16,1-18",1-15,10-10
"1-16,1-18",1-15,10-11
"1-16,1-18",1-15,10-17
"1-16,1-18",1-15,10-4
"1-16,1-18",1-15,10-7
"1-16,1-18",1-15,11-1
"1-16,1-18",1-15,11-10
"1-16,1-18",1-15,11-17
"1-16,1-18",1-15,11-19
"1-16,1-18",1-15,11-20
"1-16,1-18",1-15,11-4
"1-16,1-18",1-15,11-7
"1-16,1-18",1-15,12-19
"1-16,1-18",1-15,12-20
"1-16,1-18",1-15,12-7
"1-16,1-18",1-15,13-14
"1-16,1-18",1-15,13-19
"1-16,1-18",1-15,13-20
"1-16,1-18",1-15,13-3
"1-16,1-18",1-15,13-7
"1-16,1-18",1-15,14-11
"1-16,1-18",1-15,14-12
"1-16,1-18",1-15,14-13
"1-16,1-18",1-15,14-14
"1-16,1-18",1-15,14-20
"1-16,1-18",1-15,14-8
"1-16,1-18",1-15,14-9
"1-16,1-18",1-15,15-1
"1-16,1-18",1-15,15-19
"1-16,1-18",1-15,15-6
"1-16,1-18",1-15,16-1
"1-16,1-18",1-15,16-16
"1-16,1-18",1-15,16-19
"1-16,1-18",1-15,16-20
"1-16,1-18",1-15,16-5
"1-16,1-18",1-15,17-10
"1-16,1-18",1-15,17-11
"1-16,1-18",1-15,18-1
"1-16,1-18",1-15,18-10
"1-16,1-18",1-15,18-11
"1-16,1-18",1-15,18-12
"1-16,1-18",1-15,18-13
"1-16,1-18",1-15,18-14
"1-16,1-18",1-15,18-15
"1-16,1-18",1-15,18-16
"1-16,1-18",1-15,18-17
"1-16,1-18",1-15,18-2
"1-16,1-18",1-15,18-20
"1-16,1-18",1-15,18-4
"1-16,1-18",1-15,18-5
"1-16,1-18",1-15,18-7
"1-16,1-18",1-15,18-8
"1-16,1-18",1-15,18-9
"1-16,1-18",1-15,19-1
"1-16,1-18",1-15,19-10
"1-16,1-18",1-15,19-11
"1-16,1-18",1-15,19-12
"1-16,1-18",1-15,19-13
"1-16,1-18",1-15,19-14
"1-16,1-18",1-15,19-19
"1-16,1-18",1-15,19-20
"1-16,1-18",1-15,19-3
"1-16,1-18",1-15,19-4
"1-16,1-18",1-15,19-6
"1-16,1-18",1-15,19-7
"1-16,1-18",1-15,19-8
"1-16,1-18",1-15,19-9
"1-16,1-18",1-15,2-12
"1-16,1-18",1-15,2-13
"1-16,1-18",1-15,2-15
"1-16,1-18",1-15,2-16
"1-16,1-18",1-15,2-19
"1-16,1-18",1-15,2-20
"1-16,1-18",1-15,2-3
"1-16,1-18",1-15,2-4
"1-16,1-18",1-15,2-5
"1-16,1-18",1-15,2-6
"1-16,1-18",1-15,2-7
"1-16,1-18",1-15,2-8
"1-16,1-18",1-15,20-12
"1-16,1-18",1-15,20-14
"1-16,1-18",1-15,20-16
"1-16,1-18",1-15,20-18
"1-16,1-18",1-15,20-20
"1-16,1-18",1-15,20-3
"1-16,1-18",1-15,20-4
"1-16,1-18",1-15,20-5
"1-16,1-18",1-15,20-7
"1-16,1-18",1-15,20-8
"1-16,1-18",1-15,3-1
"1-16,1-18",1-15,3-13
"1-16,1-18",1-15,3-18
"1-16,1-18",1-15,3-2
"1-16,1-18",1-15,3-8
"1-16,1-18",1-15,4-1
"1-16,1-18",1-15,4-10
"1-16,1-18",1-15,4-11
"1-16,1-18",1-15,5-1
"1-16,1-18",1-15,5-5
"1-16,1-18",1-15,6-1
"1-16,1-18",1-15,6-6
"1-16,1-18",1-15,7-10
"1-16,1-18",1-15,7-11
"1-16,1-18",1-15,7-20
"1-16,1-18",1-15,7-7
"1-16,1-18",1-15,8-1
"1-16,1-18",1-15,8-13
"1-16,1-18",1-15,8-18
"1-16,1-18",1-15,8-3
"1-16,1-18",1-15,8-7
"1-16,1-18",1-15,8-8
"1-16,1-18",1-15,9-1
"1-16,1-18",1-15,9-20
"1-16,1-18",1-19,1-2
"1-16,1-18",1-19,1-8
"1-16,1-18",1-19,10-1
"1-16,1-18",1-19,10-10
"1-16,1-18",1-19,10-11
"1-16,1-18",1-19,10-17
"1-16,1-18",1-19,10-4
"1-16,1-18",1-19,10-7
"1-16,1-18",1-19,11-1
"1-16,1-18",1-19,11-10
"1-16,1-18",1-19,11-17
"1-16,1-18",1-19,11-19
"1-16,1-18",1-19,11-20
"1-16,1-18",1-19,11-4
"1-16,1-18",1-19,11-7
"1-16,1-18",1-19,12-19
"1-16,1-18",1-19,12-20
"1-16,1-18",1-19,12-7
"1-16,1-18",1-19,13-14
"1-16,1-18",1-19,13-19
"1-16,1-18",1-19,13-20
"1-16,1-18",1-19,13-3
"1-16,1-18",1-19,13-7
"1-16,1-18",1-19,14-11
"1-16,1-18",1-19,14-12
"1-16,1-18",1-19,14-13
"1-16,1-18",1-19,14-14
"1-16,1-18",1-19,14-20
"1-16,1-18",1-19,14-8
"1-16,1-18",1-19,14-9
"1-16,1-18",1-19,15-1
"1-16,1-18",1-19,15-19
"1-16,1-18",1-19,15-6
"1-16,1-18",1-19,16-1
"1-16,1-18",1-19,16-16
"1-16,1-18",1-19,16-19
"1-16,1-18",1-19,16-20
"1-16,1-18",1-19,16-5
"1-16,1-18",1-19,17-10
"1-16,1-18",1-19,17-11
"1-16,1-18",1-19,18-1
"1-16,1-18",1-19,18-10
"1-16,1-18",1-19,18-11
"1-16,1-18",1-19,18-12
"1-16,1-18",1-19,18-13
"1-16,1-18",1-19,18-14
"1-16,1-18",1-19,18-15
"1-16,1-18",1-19,18-16
"1-16,1-18",1-19,18-17
"1-16,1-18",1-19,18-2
"1-16,1-18",1-19,18-20
"1-16,1-18",1-19,18-4
"1-16,1-18",1-19,18-5
"1-16,1-18",1-19,18-7
"1-16,1-18",1-19,18-8
"1-16,1-18",1-19,18-9
"1-16,1-18",1-19,19-1
"1-16,1-18",1-19,19-10
"1-16,1-18",1-19,19-11
"1-16,1-18",1-19,19-12
"1-16,1-18",1-19,19-13
"1-16,1-18",1-19,19-14
"1-16,1-18",1-19,19-19
"1-16,1-18",1-19,19-20
"1-16,1-18",1-19,19-3
"1-16,1-18",1-19,19-4
"1-16,1-18",1-19,19-6
"1-16,1-18",1-19,19-7
"1-16,1-18",1-19,19-8
"1-16,1-18",1-19,19-9
"1-16,1-18",1-19,2-12
"1-16,1-18",1-19,2-13
"1-16,1-18",1-19,2-15
"1-16,1-18",1-19,2-16
"1-16,1-18",1-19,2-19
"1-16,1-18",1-19,2-20
"1-16,1-18",1-19,2-3
"1-16,1-18",1-19,2-4
"1-16,1-18",1-19,2-5
"1-16,1-18",1-19,2-6
"1-16,1-18",1-19,2-7
"1-16,1-18",1-19,2-8
"1-16,1-18",1-19,20-12
"1-16,1-18",1-19,20-14
"1-16,1-18",1-19,20-16
"1-16,1-18",1-19,20-18
"1-16,1-18",1-19,20-20
"1-16,1-18",1-19,20-3
"1-16,1-18",1-19,20-4
"1-16,1-18",1-19,20-5
"1-16,1-18",1-19,20-7
"1-16,1-18",1-19,20-8
"1-16,1-18",1-19,3-1
"1-16,1-18",1-19,3-13
"1-16,1-18",1-19,3-18
"1-16,1-18",1-19,3-2
"1-16,1-18",1-19,3-8
"1-16,1-18",1-19,4-1
"1-16,1-18",1-19,4-10
"1-16,1-18",1-19,4-11
"1-16,1-18",1-19,5-1
"1-16,1-18",1-19,5-5
"1-16,1-18",1-19,6-1
"1-16,1-18",1-19,6-6
