domain,tx,samples_after_cap,eligible_unknown_q30,eligible_new_k10_q30,is_old,is_fixed_new
3-19,16-1,200,True,True,False,False
3-19,16-16,200,True,True,False,False
3-19,16-19,200,True,True,False,False
3-19,16-20,200,True,True,False,False
3-19,16-5,200,True,True,False,False
3-19,17-10,200,True,True,False,False
3-19,17-11,200,True,True,False,False
3-19,18-1,200,True,True,False,False
3-19,18-10,200,True,True,False,False
3-19,18-11,200,True,True,False,False
3-19,18-12,200,True,True,False,False
3-19,18-13,200,True,True,False,False
3-19,18-14,200,True,True,False,False
3-19,18-15,200,True,True,False,False
3-19,18-16,200,True,True,False,False
3-19,18-17,200,True,True,False,False
3-19,18-2,200,True,True,False,False
3-19,18-20,200,True,True,False,False
3-19,18-4,200,True,True,False,False
3-19,18-5,200,True,True,False,False
3-19,18-7,200,True,True,False,False
3-19,18-8,200,True,True,False,False
3-19,18-9,200,True,True,False,False
3-19,19-1,200,True,True,False,False
3-19,19-10,200,True,True,False,False
3-19,19-11,200,True,True,False,False
3-19,19-12,200,True,True,False,False
3-19,19-13,200,True,True,False,False
3-19,19-14,200,True,True,False,False
3-19,19-19,200,True,True,False,False
3-19,19-2,200,True,True,False,False
3-19,19-20,200,True,True,False,False
3-19,19-3,200,True,True,False,False
3-19,19-4,200,True,True,False,False
3-19,19-6,200,True,True,False,False
3-19,19-7,200,True,True,False,False
3-19,19-8,200,True,True,False,False
3-19,19-9,200,True,True,False,False
3-19,2-1,200,True,True,False,False
3-19,2-12,200,True,True,False,False
3-19,2-13,200,True,True,False,False
3-19,2-14,13,False,False,False,False
3-19,2-15,200,True,True,False,False
3-19,2-16,200,True,True,False,False
3-19,2-17,4,False,False,False,False
3-19,2-19,82,True,True,False,False
3-19,2-20,40,True,True,False,False
3-19,2-3,200,True,True,False,False
3-19,2-4,200,True,True,False,False
3-19,2-5,200,True,True,False,False
3-19,2-6,200,True,True,False,False
3-19,2-7,200,True,True,False,False
3-19,2-8,200,True,True,False,False
3-19,20-1,200,True,True,False,False
3-19,20-12,200,True,True,False,False
3-19,20-14,200,True,True,False,False
3-19,20-16,200,True,True,False,False
3-19,20-18,200,True,True,False,False
3-19,20-20,200,True,True,False,False
3-19,20-3,200,True,True,False,False
3-19,20-4,200,True,True,False,False
3-19,20-5,200,True,True,False,False
3-19,20-7,200,True,True,False,False
3-19,20-8,200,True,True,False,False
3-19,3-1,200,True,True,False,False
3-19,3-13,200,True,True,False,False
3-19,3-18,200,True,True,False,False
3-19,3-19,9,False,False,False,False
3-19,3-2,200,True,True,False,False
3-19,3-20,5,False,False,False,False
3-19,3-8,200,True,True,False,False
3-19,4-1,200,True,True,False,False
3-19,4-10,200,True,True,False,False
3-19,4-11,200,True,True,False,False
3-19,5-1,200,True,True,False,False
3-19,5-16,0,False,False,False,False
3-19,5-20,4,False,False,False,False
3-19,5-5,200,True,True,False,False
3-19,6-1,200,True,True,False,False
3-19,6-6,200,True,True,False,False
3-19,7-10,200,True,True,False,False
3-19,7-11,200,True,True,False,False
3-19,7-12,200,True,True,False,False
3-19,7-13,200,True,True,False,False
3-19,7-14,200,True,True,False,False
3-19,7-20,194,True,True,False,False
3-19,7-7,200,True,True,False,False
3-19,7-8,200,True,True,False,False
3-19,7-9,200,True,True,False,False
3-19,8-1,200,True,True,False,False
3-19,8-13,200,True,True,False,False
3-19,8-14,200,True,True,False,False
3-19,8-18,200,True,True,False,False
3-19,8-3,200,True,True,False,False
3-19,8-7,177,True,True,False,False
3-19,8-8,200,True,True,False,False
3-19,9-1,200,True,True,False,False
3-19,9-14,192,True,True,False,False
3-19,9-20,31,True,False,False,False
3-19,9-7,200,True,True,False,False
7-14,1-1,150,True,True,False,False
7-14,1-10,200,True,True,False,False
7-14,1-11,150,True,True,False,False
7-14,1-12,200,True,True,False,False
7-14,1-14,200,True,True,False,False
7-14,1-15,150,True,True,False,False
7-14,1-16,200,True,True,False,True
7-14,1-18,200,True,True,False,True
7-14,1-19,200,True,True,False,False
7-14,1-2,150,True,True,False,False
7-14,1-8,200,True,True,False,False
7-14,10-1,30,True,False,False,False
7-14,10-10,150,True,True,False,False
7-14,10-11,200,True,True,False,False
7-14,10-17,200,True,True,False,False
7-14,10-4,200,True,True,False,False
7-14,10-7,200,True,True,False,False
7-14,11-1,200,True,True,False,False
7-14,11-10,200,True,True,False,False
7-14,11-17,150,True,True,False,False
7-14,11-19,200,True,True,False,False
7-14,11-20,200,True,True,False,False
7-14,11-4,200,True,True,False,False
7-14,11-7,200,True,True,False,False
7-14,12-1,6,False,False,False,False
7-14,12-19,200,True,True,False,False
7-14,12-20,200,True,True,False,False
7-14,12-7,200,True,True,False,False
7-14,13-14,200,True,True,False,False
7-14,13-18,0,False,False,False,False
7-14,13-19,200,True,True,False,False
7-14,13-20,175,True,True,False,False
7-14,13-3,200,True,True,False,False
7-14,13-7,200,True,True,False,False
7-14,14-11,200,True,True,False,False
7-14,14-12,200,True,True,False,False
7-14,14-13,200,True,True,False,False
7-14,14-14,200,True,True,False,False
7-14,14-20,200,True,True,False,False
7-14,14-8,200,True,True,False,False
7-14,14-9,200,True,True,False,False
7-14,15-1,200,True,True,False,False
7-14,15-19,200,True,True,False,False
7-14,15-6,200,True,True,False,False
7-14,16-1,200,True,True,False,False
7-14,16-16,200,True,True,False,False
7-14,16-19,200,True,True,False,False
7-14,16-20,200,True,True,False,False
7-14,16-5,150,True,True,False,False
7-14,17-10,200,True,True,False,False
7-14,17-11,200,True,True,False,False
7-14,18-1,200,True,True,False,False
7-14,18-10,200,True,True,False,False
7-14,18-11,200,True,True,False,False
7-14,18-12,200,True,True,False,False
7-14,18-13,200,True,True,False,False
7-14,18-14,200,True,True,False,False
7-14,18-15,200,True,True,False,False
7-14,18-16,200,True,True,False,False
7-14,18-17,200,True,True,False,False
7-14,18-2,200,True,True,False,False
7-14,18-20,200,True,True,False,False
7-14,18-4,200,True,True,False,False
7-14,18-5,200,True,True,False,False
7-14,18-7,200,True,True,False,False
7-14,18-8,200,True,True,False,False
7-14,18-9,200,True,True,False,False
7-14,19-1,200,True,True,False,False
7-14,19-10,200,True,True,False,False
7-14,19-11,200,True,True,False,False
7-14,19-12,200,True,True,False,False
7-14,19-13,200,True,True,False,False
7-14,19-14,200,True,True,False,False
7-14,19-19,200,True,True,False,False
7-14,19-2,200,True,True,False,False
7-14,19-20,200,True,True,False,False
7-14,19-3,200,True,True,False,False
7-14,19-4,200,True,True,False,False
7-14,19-6,200,True,True,False,False
7-14,19-7,200,True,True,False,False
7-14,19-8,200,True,True,False,False
7-14,19-9,200,True,True,False,False
7-14,2-1,0,False,False,False,False
7-14,2-12,200,True,True,False,False
7-14,2-13,200,True,True,False,False
7-14,2-14,200,True,True,False,False
7-14,2-15,200,True,True,False,False
7-14,2-16,150,True,True,False,False
7-14,2-17,200,True,True,False,False
7-14,2-19,200,True,True,False,False
7-14,2-20,150,True,True,False,False
7-14,2-3,200,True,True,False,False
7-14,2-4,200,True,True,False,False
7-14,2-5,200,True,True,False,False
7-14,2-6,165,True,True,False,False
7-14,2-7,200,True,True,False,False
7-14,2-8,200,True,True,False,False
7-14,20-1,200,True,True,False,False
7-14,20-12,200,True,True,False,False
7-14,20-14,200,True,True,False,False
7-14,20-16,200,True,True,False,False
7-14,20-18,200,True,True,False,False
7-14,20-20,200,True,True,False,False
7-14,20-3,200,True,True,False,False
7-14,20-4,200,True,True,False,False
7-14,20-5,200,True,True,False,False
7-14,20-7,200,True,True,False,False
7-14,20-8,200,True,True,False,False
7-14,3-1,200,True,True,False,False
7-14,3-13,200,True,True,False,False
7-14,3-18,200,True,True,False,False
7-14,3-19,200,True,True,False,False
7-14,3-2,200,True,True,False,False
7-14,3-20,200,True,True,False,False
7-14,3-8,200,True,True,False,False
7-14,4-1,200,True,True,False,False
7-14,4-10,200,True,True,False,False
7-14,4-11,200,True,True,False,False
7-14,5-1,169,True,True,False,False
7-14,5-16,200,True,True,False,False
7-14,5-20,200,True,True,False,False
7-14,5-5,200,True,True,False,False
7-14,6-1,200,True,True,False,False
7-14,6-6,200,True,True,False,False
7-14,7-10,200,True,True,False,False
7-14,7-11,200,True,True,False,False
7-14,7-12,0,False,False,False,False
7-14,7-13,0,False,False,False,False
7-14,7-14,0,False,False,False,False
7-14,7-20,200,True,True,False,False
7-14,7-7,200,True,True,False,False
7-14,7-8,200,True,True,False,False
7-14,7-9,200,True,True,False,False
7-14,8-1,200,True,True,False,False
7-14,8-13,200,True,True,False,False
7-14,8-14,0,False,False,False,False
7-14,8-18,200,True,True,False,False
7-14,8-3,200,True,True,False,False
7-14,8-7,150,True,True,False,False
7-14,8-8,200,True,True,False,False
7-14,9-1,200,True,True,False,False
7-14,9-14,0,False,False,False,False
7-14,9-20,200,True,True,False,False
7-14,9-7,200,True,True,False,False
7-7,1-1,150,True,True,False,False
7-7,1-10,200,True,True,False,False
7-7,1-11,150,True,True,False,False
7-7,1-12,200,True,True,False,False
7-7,1-14,200,True,True,False,False
7-7,1-15,150,True,True,False,False
7-7,1-16,200,True,True,False,True
7-7,1-18,200,True,True,False,True
7-7,1-19,200,True,True,False,False
7-7,1-2,150,True,True,False,False
7-7,1-8,200,True,True,False,False
7-7,10-1,83,True,True,False,False
7-7,10-10,150,True,True,False,False
7-7,10-11,200,True,True,False,False
7-7,10-17,31,True,False,False,False
7-7,10-4,200,True,True,False,False
7-7,10-7,200,True,True,False,False
7-7,11-1,200,True,True,False,False
7-7,11-10,200,True,True,False,False
7-7,11-17,150,True,True,False,False
7-7,11-19,200,True,True,False,False
7-7,11-20,200,True,True,False,False
7-7,11-4,200,True,True,False,False
7-7,11-7,200,True,True,False,False
7-7,12-1,5,False,False,False,False
7-7,12-19,200,True,True,False,False
7-7,12-20,200,True,True,False,False
7-7,12-7,200,True,True,False,False
7-7,13-14,200,True,True,False,False
7-7,13-18,6,False,False,False,False
7-7,13-19,200,True,True,False,False
7-7,13-20,174,True,True,False,False
7-7,13-3,200,True,True,False,False
7-7,13-7,200,True,True,False,False
7-7,14-11,200,True,True,False,False
7-7,14-12,200,True,True,False,False
7-7,14-13,200,True,True,False,False
7-7,14-14,200,True,True,False,False
7-7,14-20,200,True,True,False,False
7-7,14-8,200,True,True,False,False
7-7,14-9,200,True,True,False,False
7-7,15-1,200,True,True,False,False
7-7,15-19,200,True,True,False,False
7-7,15-6,200,True,True,False,False
7-7,16-1,200,True,True,False,False
7-7,16-16,200,True,True,False,False
7-7,16-19,200,True,True,False,False
7-7,16-20,200,True,True,False,False
7-7,16-5,150,True,True,False,False
7-7,17-10,200,True,True,False,False
7-7,17-11,200,True,True,False,False
7-7,18-1,200,True,True,False,False
7-7,18-10,200,True,True,False,False
7-7,18-11,200,True,True,False,False
7-7,18-12,200,True,True,False,False
7-7,18-13,159,True,True,False,False
7-7,18-14,200,True,True,False,False
7-7,18-15,200,True,True,False,False
7-7,18-16,200,True,True,False,False
7-7,18-17,200,True,True,False,False
7-7,18-2,200,True,True,False,False
7-7,18-20,200,True,True,False,False
7-7,18-4,200,True,True,False,False
7-7,18-5,200,True,True,False,False
7-7,18-7,200,True,True,False,False
7-7,18-8,200,True,True,False,False
7-7,18-9,200,True,True,False,False
7-7,19-1,200,True,True,False,False
7-7,19-10,200,True,True,False,False
7-7,19-11,200,True,True,False,False
7-7,19-12,200,True,True,False,False
7-7,19-13,200,True,True,False,False
7-7,19-14,200,True,True,False,False
7-7,19-19,200,True,True,False,False
7-7,19-2,20,False,False,False,False
7-7,19-20,200,True,True,False,False
7-7,19-3,200,True,True,False,False
7-7,19-4,200,True,True,False,False
7-7,19-6,200,True,True,False,False
7-7,19-7,200,True,True,False,False
7-7,19-8,200,True,True,False,False
7-7,19-9,200,True,True,False,False
7-7,2-1,0,False,False,False,False
7-7,2-12,200,True,True,False,False
7-7,2-13,200,True,True,False,False
7-7,2-14,200,True,True,False,False
7-7,2-15,200,True,True,False,False
7-7,2-16,150,True,True,False,False
7-7,2-17,200,True,True,False,False
7-7,2-19,200,True,True,False,False
7-7,2-20,150,True,True,False,False
7-7,2-3,200,True,True,False,False
7-7,2-4,200,True,True,False,False
7-7,2-5,200,True,True,False,False
7-7,2-6,200,True,True,False,False
7-7,2-7,200,True,True,False,False
7-7,2-8,200,True,True,False,False
7-7,20-1,165,True,True,False,False
7-7,20-12,200,True,True,False,False
7-7,20-14,200,True,True,False,False
7-7,20-16,200,True,True,False,False
7-7,20-18,200,True,True,False,False
7-7,20-20,175,True,True,False,False
7-7,20-3,200,True,True,False,False
7-7,20-4,200,True,True,False,False
7-7,20-5,200,True,True,False,False
7-7,20-7,200,True,True,False,False
7-7,20-8,200,True,True,False,False
7-7,3-1,200,True,True,False,False
7-7,3-13,200,True,True,False,False
7-7,3-18,200,True,True,False,False
7-7,3-19,200,True,True,False,False
7-7,3-2,200,True,True,False,False
7-7,3-20,200,True,True,False,False
7-7,3-8,200,True,True,False,False
7-7,4-1,200,True,True,False,False
7-7,4-10,200,True,True,False,False
7-7,4-11,200,True,True,False,False
7-7,5-1,200,True,True,False,False
7-7,5-16,200,True,True,False,False
7-7,5-20,200,True,True,False,False
7-7,5-5,200,True,True,False,False
7-7,6-1,200,True,True,False,False
7-7,6-6,200,True,True,False,False
7-7,7-10,200,True,True,False,False
7-7,7-11,200,True,True,False,False
7-7,7-12,200,True,True,False,False
7-7,7-13,200,True,True,False,False
7-7,7-14,200,True,True,False,False
7-7,7-20,200,True,True,False,False
7-7,7-7,200,True,True,False,False
7-7,7-8,0,False,False,False,False
7-7,7-9,200,True,True,False,False
7-7,8-1,200,True,True,False,False
7-7,8-13,200,True,True,False,False
7-7,8-14,200,True,True,False,False
7-7,8-18,200,True,True,False,False
7-7,8-3,200,True,True,False,False
7-7,8-7,150,True,True,False,False
7-7,8-8,200,True,True,False,False
7-7,9-1,200,True,True,False,False
7-7,9-14,150,True,True,False,False
7-7,9-20,200,True,True,False,False
7-7,9-7,200,True,True,False,False
8-8,1-1,150,True,True,False,False
8-8,1-10,200,True,True,False,False
8-8,1-11,150,True,True,False,False
8-8,1-12,200,True,True,False,False
8-8,1-14,200,True,True,False,False
8-8,1-15,150,True,True,False,False
8-8,1-16,200,True,True,False,True
8-8,1-18,200,True,True,False,True
8-8,1-19,200,True,True,False,False
8-8,1-2,150,True,True,False,False
8-8,1-8,200,True,True,False,False
8-8,10-1,35,True,False,False,False
8-8,10-10,150,True,True,False,False
8-8,10-11,200,True,True,False,False
8-8,10-17,200,True,True,False,False
8-8,10-4,200,True,True,False,False
8-8,10-7,200,True,True,False,False
8-8,11-1,200,True,True,False,False
8-8,11-10,200,True,True,False,False
8-8,11-17,150,True,True,False,False
8-8,11-19,200,True,True,False,False
8-8,11-20,200,True,True,False,False
8-8,11-4,200,True,True,False,False
8-8,11-7,200,True,True,False,False
8-8,12-1,8,False,False,False,False
8-8,12-19,200,True,True,False,False
8-8,12-20,200,True,True,False,False
8-8,12-7,200,True,True,False,False
8-8,13-14,200,True,True,False,False
8-8,13-18,5,False,False,False,False
8-8,13-19,200,True,True,False,False
8-8,13-20,176,True,True,False,False
8-8,13-3,200,True,True,False,False
8-8,13-7,200,True,True,False,False
8-8,14-11,200,True,True,False,False
8-8,14-12,200,True,True,False,False
8-8,14-13,200,True,True,False,False
8-8,14-14,200,True,True,False,False
8-8,14-20,200,True,True,False,False
8-8,14-8,200,True,True,False,False
8-8,14-9,200,True,True,False,False
8-8,15-1,200,True,True,False,False
8-8,15-19,200,True,True,False,False
8-8,15-6,200,True,True,False,False
8-8,16-1,200,True,True,False,False
8-8,16-16,200,True,True,False,False
8-8,16-19,200,True,True,False,False
8-8,16-20,200,True,True,False,False
8-8,16-5,150,True,True,False,False
8-8,17-10,200,True,True,False,False
8-8,17-11,200,True,True,False,False
8-8,18-1,200,True,True,False,False
8-8,18-10,200,True,True,False,False
8-8,18-11,200,True,True,False,False
8-8,18-12,200,True,True,False,False
8-8,18-13,200,True,True,False,False
8-8,18-14,200,True,True,False,False
8-8,18-15,200,True,True,False,False
8-8,18-16,200,True,True,False,False
8-8,18-17,200,True,True,False,False
8-8,18-2,200,True,True,False,False
8-8,18-20,200,True,True,False,False
8-8,18-4,200,True,True,False,False
8-8,18-5,200,True,True,False,False
8-8,18-7,200,True,True,False,False
8-8,18-8,200,True,True,False,False
8-8,18-9,200,True,True,False,False
8-8,19-1,200,True,True,False,False
8-8,19-10,200,True,True,False,False
8-8,19-11,200,True,True,False,False
8-8,19-12,200,True,True,False,False
8-8,19-13,200,True,True,False,False
8-8,19-14,200,True,True,False,False
8-8,19-19,200,True,True,False,False
8-8,19-2,200,True,True,False,False
8-8,19-20,200,True,True,False,False
8-8,19-3,200,True,True,False,False
8-8,19-4,200,True,True,False,False
8-8,19-6,200,True,True,False,False
8-8,19-7,200,True,True,False,False
8-8,19-8,200,True,True,False,False
8-8,19-9,200,True,True,False,False
8-8,2-1,0,False,False,False,False
8-8,2-12,200,True,True,False,False
8-8,2-13,200,True,True,False,False
8-8,2-14,200,True,True,False,False
8-8,2-15,200,True,True,False,False
8-8,2-16,150,True,True,False,False
8-8,2-17,200,True,True,False,False
8-8,2-19,200,True,True,False,False
8-8,2-20,150,True,True,False,False
8-8,2-3,200,True,True,False,False
8-8,2-4,200,True,True,False,False
8-8,2-5,200,True,True,False,False
8-8,2-6,200,True,True,False,False
8-8,2-7,200,True,True,False,False
8-8,2-8,200,True,True,False,False
8-8,20-1,14,False,False,False,False
8-8,20-12,200,True,True,False,False
8-8,20-14,200,True,True,False,False
8-8,20-16,200,True,True,False,False
8-8,20-18,200,True,True,False,False
8-8,20-20,169,True,True,False,False
8-8,20-3,200,True,True,False,False
8-8,20-4,200,True,True,False,False
8-8,20-5,200,True,True,False,False
8-8,20-7,200,True,True,False,False
8-8,20-8,200,True,True,False,False
8-8,3-1,200,True,True,False,False
8-8,3-13,200,True,True,False,False
8-8,3-18,200,True,True,False,False
8-8,3-19,200,True,True,False,False
8-8,3-2,200,True,True,False,False
8-8,3-20,200,True,True,False,False
8-8,3-8,200,True,True,False,False
8-8,4-1,200,True,True,False,False
8-8,4-10,200,True,True,False,False
8-8,4-11,200,True,True,False,False
8-8,5-1,200,True,True,False,False
8-8,5-16,200,True,True,False,False
8-8,5-20,200,True,True,False,False
8-8,5-5,200,True,True,False,False
8-8,6-1,200,True,True,False,False
8-8,6-6,200,True,True,False,False
8-8,7-10,200,True,True,False,False
8-8,7-11,200,True,True,False,False
8-8,7-12,17,False,False,False,False
8-8,7-13,200,True,True,False,False
8-8,7-14,200,True,True,False,False
8-8,7-20,200,True,True,False,False
8-8,7-7,200,True,True,False,False
8-8,7-8,0,False,False,False,False
8-8,7-9,0,False,False,False,False
8-8,8-1,200,True,True,False,False
8-8,8-13,200,True,True,False,False
8-8,8-14,200,True,True,False,False
8-8,8-18,200,True,True,False,False
8-8,8-3,200,True,True,False,False
8-8,8-7,150,True,True,False,False
8-8,8-8,200,True,True,False,False
8-8,9-1,200,True,True,False,False
8-8,9-14,150,True,True,False,False
8-8,9-20,200,True,True,False,False
8-8,9-7,0,False,False,False,False
