domain,seen_new_a,seen_new_b,samples_a,samples_b
20-1,1-11,18-11,159,200
20-1,1-11,18-12,159,200
20-1,1-11,18-13,159,200
20-1,1-11,18-14,159,200
20-1,1-11,18-15,159,200
20-1,1-11,18-16,159,200
20-1,1-11,18-17,159,200
20-1,1-11,18-2,159,104
20-1,1-11,18-20,159,200
20-1,1-11,18-4,159,150
20-1,1-11,18-5,159,200
20-1,1-11,18-7,159,200
20-1,1-11,18-8,159,200
20-1,1-11,18-9,159,200
20-1,1-11,19-1,159,200
20-1,1-11,19-10,159,200
20-1,1-11,19-11,159,200
20-1,1-11,19-12,159,200
20-1,1-11,19-13,159,200
20-1,1-11,19-14,159,200
20-1,1-11,19-19,159,140
20-1,1-11,19-2,159,200
20-1,1-11,19-20,159,200
20-1,1-11,19-3,159,200
20-1,1-11,19-4,159,200
20-1,1-11,19-6,159,200
20-1,1-11,19-7,159,200
20-1,1-11,19-8,159,200
20-1,1-11,19-9,159,200
20-1,1-11,2-1,159,125
20-1,1-11,2-12,159,200
20-1,1-11,2-13,159,200
20-1,1-11,2-14,159,200
20-1,1-11,2-15,159,200
20-1,1-11,2-16,159,154
20-1,1-11,2-17,159,200
20-1,1-11,2-19,159,200
20-1,1-11,2-20,159,185
20-1,1-11,2-3,159,200
20-1,1-11,2-4,159,200
20-1,1-11,2-5,159,200
20-1,1-11,2-6,159,131
20-1,1-11,2-7,159,200
20-1,1-11,2-8,159,200
20-1,1-11,20-1,159,200
20-1,1-11,20-12,159,200
20-1,1-11,20-14,159,200
20-1,1-11,20-16,159,200
20-1,1-11,20-18,159,200
20-1,1-11,20-20,159,200
20-1,1-11,20-3,159,135
20-1,1-11,20-4,159,200
20-1,1-11,20-5,159,200
20-1,1-11,20-7,159,200
20-1,1-11,20-8,159,200
20-1,1-11,3-1,159,200
20-1,1-11,3-13,159,200
20-1,1-11,3-18,159,200
20-1,1-11,3-19,159,200
20-1,1-11,3-2,159,200
20-1,1-11,3-20,159,200
20-1,1-11,3-8,159,200
20-1,1-11,4-1,159,200
20-1,1-11,4-10,159,157
20-1,1-11,4-11,159,200
20-1,1-11,5-1,159,200
20-1,1-11,5-16,159,200
20-1,1-11,5-20,159,200
20-1,1-11,5-5,159,200
20-1,1-11,6-1,159,200
20-1,1-11,6-6,159,200
20-1,1-11,7-10,159,200
20-1,1-11,7-11,159,200
20-1,1-11,7-12,159,200
20-1,1-11,7-13,159,200
20-1,1-11,7-14,159,200
20-1,1-11,7-20,159,200
20-1,1-11,7-7,159,200
20-1,1-11,7-8,159,200
20-1,1-11,7-9,159,200
20-1,1-11,8-1,159,200
20-1,1-11,8-13,159,200
20-1,1-11,8-14,159,200
20-1,1-11,8-18,159,200
20-1,1-11,8-3,159,200
20-1,1-11,8-7,159,177
20-1,1-11,8-8,159,200
20-1,1-11,9-1,159,200
20-1,1-11,9-14,159,164
20-1,1-11,9-20,159,200
20-1,1-11,9-7,159,200
20-1,1-12,1-14,200,200
20-1,1-12,1-15,200,171
20-1,1-12,1-16,200,200
20-1,1-12,1-18,200,200
20-1,1-12,1-19,200,183
20-1,1-12,1-2,200,174
20-1,1-12,1-8,200,200
20-1,1-12,10-1,200,166
20-1,1-12,10-10,200,155
20-1,1-12,10-11,200,200
20-1,1-12,10-17,200,200
20-1,1-12,10-4,200,200
20-1,1-12,10-7,200,200
20-1,1-12,11-1,200,200
20-1,1-12,11-10,200,200
20-1,1-12,11-17,200,150
20-1,1-12,11-19,200,200
20-1,1-12,11-20,200,178
20-1,1-12,11-4,200,200
20-1,1-12,11-7,200,200
20-1,1-12,12-1,200,112
20-1,1-12,12-19,200,200
20-1,1-12,12-20,200,200
20-1,1-12,12-7,200,200
20-1,1-12,13-14,200,200
20-1,1-12,13-18,200,116
20-1,1-12,13-19,200,200
20-1,1-12,13-20,200,185
20-1,1-12,13-3,200,200
20-1,1-12,13-7,200,200
20-1,1-12,14-11,200,200
20-1,1-12,14-12,200,200
20-1,1-12,14-13,200,200
20-1,1-12,14-14,200,200
20-1,1-12,14-20,200,200
20-1,1-12,14-8,200,200
20-1,1-12,14-9,200,200
20-1,1-12,15-1,200,200
20-1,1-12,15-19,200,200
20-1,1-12,15-6,200,200
20-1,1-12,16-1,200,200
20-1,1-12,16-16,200,200
20-1,1-12,16-19,200,200
20-1,1-12,16-20,200,200
20-1,1-12,16-5,200,200
20-1,1-12,17-10,200,200
20-1,1-12,17-11,200,200
20-1,1-12,18-1,200,86
20-1,1-12,18-10,200,200
20-1,1-12,18-11,200,200
20-1,1-12,18-12,200,200
20-1,1-12,18-13,200,200
20-1,1-12,18-14,200,200
20-1,1-12,18-15,200,200
20-1,1-12,18-16,200,200
20-1,1-12,18-17,200,200
20-1,1-12,18-2,200,104
20-1,1-12,18-20,200,200
20-1,1-12,18-4,200,150
20-1,1-12,18-5,200,200
20-1,1-12,18-7,200,200
20-1,1-12,18-8,200,200
20-1,1-12,18-9,200,200
20-1,1-12,19-1,200,200
20-1,1-12,19-10,200,200
20-1,1-12,19-11,200,200
20-1,1-12,19-12,200,200
20-1,1-12,19-13,200,200
20-1,1-12,19-14,200,200
20-1,1-12,19-19,200,140
20-1,1-12,19-2,200,200
20-1,1-12,19-20,200,200
20-1,1-12,19-3,200,200
20-1,1-12,19-4,200,200
20-1,1-12,19-6,200,200
20-1,1-12,19-7,200,200
20-1,1-12,19-8,200,200
20-1,1-12,19-9,200,200
20-1,1-12,2-1,200,125
20-1,1-12,2-12,200,200
20-1,1-12,2-13,200,200
20-1,1-12,2-14,200,200
20-1,1-12,2-15,200,200
20-1,1-12,2-16,200,154
20-1,1-12,2-17,200,200
20-1,1-12,2-19,200,200
20-1,1-12,2-20,200,185
20-1,1-12,2-3,200,200
20-1,1-12,2-4,200,200
20-1,1-12,2-5,200,200
20-1,1-12,2-6,200,131
20-1,1-12,2-7,200,200
20-1,1-12,2-8,200,200
20-1,1-12,20-1,200,200
20-1,1-12,20-12,200,200
20-1,1-12,20-14,200,200
20-1,1-12,20-16,200,200
20-1,1-12,20-18,200,200
20-1,1-12,20-20,200,200
20-1,1-12,20-3,200,135
20-1,1-12,20-4,200,200
20-1,1-12,20-5,200,200
20-1,1-12,20-7,200,200
20-1,1-12,20-8,200,200
20-1,1-12,3-1,200,200
20-1,1-12,3-13,200,200
20-1,1-12,3-18,200,200
20-1,1-12,3-19,200,200
20-1,1-12,3-2,200,200
20-1,1-12,3-20,200,200
20-1,1-12,3-8,200,200
20-1,1-12,4-1,200,200
20-1,1-12,4-10,200,157
20-1,1-12,4-11,200,200
20-1,1-12,5-1,200,200
20-1,1-12,5-16,200,200
20-1,1-12,5-20,200,200
20-1,1-12,5-5,200,200
20-1,1-12,6-1,200,200
20-1,1-12,6-6,200,200
20-1,1-12,7-10,200,200
20-1,1-12,7-11,200,200
20-1,1-12,7-12,200,200
20-1,1-12,7-13,200,200
20-1,1-12,7-14,200,200
20-1,1-12,7-20,200,200
20-1,1-12,7-7,200,200
20-1,1-12,7-8,200,200
20-1,1-12,7-9,200,200
20-1,1-12,8-1,200,200
20-1,1-12,8-13,200,200
20-1,1-12,8-14,200,200
20-1,1-12,8-18,200,200
20-1,1-12,8-3,200,200
20-1,1-12,8-7,200,177
20-1,1-12,8-8,200,200
20-1,1-12,9-1,200,200
20-1,1-12,9-14,200,164
20-1,1-12,9-20,200,200
20-1,1-12,9-7,200,200
20-1,1-14,1-15,200,171
20-1,1-14,1-16,200,200
20-1,1-14,1-18,200,200
20-1,1-14,1-19,200,183
20-1,1-14,1-2,200,174
20-1,1-14,1-8,200,200
20-1,1-14,10-1,200,166
20-1,1-14,10-10,200,155
20-1,1-14,10-11,200,200
20-1,1-14,10-17,200,200
20-1,1-14,10-4,200,200
20-1,1-14,10-7,200,200
20-1,1-14,11-1,200,200
20-1,1-14,11-10,200,200
20-1,1-14,11-17,200,150
20-1,1-14,11-19,200,200
20-1,1-14,11-20,200,178
20-1,1-14,11-4,200,200
20-1,1-14,11-7,200,200
20-1,1-14,12-1,200,112
20-1,1-14,12-19,200,200
20-1,1-14,12-20,200,200
20-1,1-14,12-7,200,200
20-1,1-14,13-14,200,200
20-1,1-14,13-18,200,116
20-1,1-14,13-19,200,200
20-1,1-14,13-20,200,185
20-1,1-14,13-3,200,200
20-1,1-14,13-7,200,200
20-1,1-14,14-11,200,200
20-1,1-14,14-12,200,200
20-1,1-14,14-13,200,200
20-1,1-14,14-14,200,200
20-1,1-14,14-20,200,200
20-1,1-14,14-8,200,200
20-1,1-14,14-9,200,200
20-1,1-14,15-1,200,200
20-1,1-14,15-19,200,200
20-1,1-14,15-6,200,200
20-1,1-14,16-1,200,200
20-1,1-14,16-16,200,200
20-1,1-14,16-19,200,200
20-1,1-14,16-20,200,200
20-1,1-14,16-5,200,200
20-1,1-14,17-10,200,200
20-1,1-14,17-11,200,200
20-1,1-14,18-1,200,86
20-1,1-14,18-10,200,200
20-1,1-14,18-11,200,200
20-1,1-14,18-12,200,200
20-1,1-14,18-13,200,200
20-1,1-14,18-14,200,200
20-1,1-14,18-15,200,200
20-1,1-14,18-16,200,200
20-1,1-14,18-17,200,200
20-1,1-14,18-2,200,104
20-1,1-14,18-20,200,200
20-1,1-14,18-4,200,150
20-1,1-14,18-5,200,200
20-1,1-14,18-7,200,200
20-1,1-14,18-8,200,200
20-1,1-14,18-9,200,200
20-1,1-14,19-1,200,200
20-1,1-14,19-10,200,200
20-1,1-14,19-11,200,200
20-1,1-14,19-12,200,200
20-1,1-14,19-13,200,200
20-1,1-14,19-14,200,200
20-1,1-14,19-19,200,140
20-1,1-14,19-2,200,200
20-1,1-14,19-20,200,200
20-1,1-14,19-3,200,200
20-1,1-14,19-4,200,200
20-1,1-14,19-6,200,200
20-1,1-14,19-7,200,200
20-1,1-14,19-8,200,200
20-1,1-14,19-9,200,200
20-1,1-14,2-1,200,125
20-1,1-14,2-12,200,200
20-1,1-14,2-13,200,200
20-1,1-14,2-14,200,200
20-1,1-14,2-15,200,200
20-1,1-14,2-16,200,154
20-1,1-14,2-17,200,200
20-1,1-14,2-19,200,200
20-1,1-14,2-20,200,185
20-1,1-14,2-3,200,200
20-1,1-14,2-4,200,200
20-1,1-14,2-5,200,200
20-1,1-14,2-6,200,131
20-1,1-14,2-7,200,200
20-1,1-14,2-8,200,200
20-1,1-14,20-1,200,200
20-1,1-14,20-12,200,200
20-1,1-14,20-14,200,200
20-1,1-14,20-16,200,200
20-1,1-14,20-18,200,200
20-1,1-14,20-20,200,200
20-1,1-14,20-3,200,135
20-1,1-14,20-4,200,200
20-1,1-14,20-5,200,200
20-1,1-14,20-7,200,200
20-1,1-14,20-8,200,200
20-1,1-14,3-1,200,200
20-1,1-14,3-13,200,200
20-1,1-14,3-18,200,200
20-1,1-14,3-19,200,200
20-1,1-14,3-2,200,200
20-1,1-14,3-20,200,200
20-1,1-14,3-8,200,200
20-1,1-14,4-1,200,200
20-1,1-14,4-10,200,157
20-1,1-14,4-11,200,200
20-1,1-14,5-1,200,200
20-1,1-14,5-16,200,200
20-1,1-14,5-20,200,200
20-1,1-14,5-5,200,200
20-1,1-14,6-1,200,200
20-1,1-14,6-6,200,200
20-1,1-14,7-10,200,200
20-1,1-14,7-11,200,200
20-1,1-14,7-12,200,200
20-1,1-14,7-13,200,200
20-1,1-14,7-14,200,200
20-1,1-14,7-20,200,200
20-1,1-14,7-7,200,200
20-1,1-14,7-8,200,200
20-1,1-14,7-9,200,200
20-1,1-14,8-1,200,200
20-1,1-14,8-13,200,200
20-1,1-14,8-14,200,200
20-1,1-14,8-18,200,200
20-1,1-14,8-3,200,200
20-1,1-14,8-7,200,177
20-1,1-14,8-8,200,200
20-1,1-14,9-1,200,200
20-1,1-14,9-14,200,164
20-1,1-14,9-20,200,200
20-1,1-14,9-7,200,200
20-1,1-15,1-16,171,200
20-1,1-15,1-18,171,200
20-1,1-15,1-19,171,183
20-1,1-15,1-2,171,174
20-1,1-15,1-8,171,200
20-1,1-15,10-1,171,166
20-1,1-15,10-10,171,155
20-1,1-15,10-11,171,200
20-1,1-15,10-17,171,200
20-1,1-15,10-4,171,200
20-1,1-15,10-7,171,200
20-1,1-15,11-1,171,200
20-1,1-15,11-10,171,200
20-1,1-15,11-17,171,150
20-1,1-15,11-19,171,200
20-1,1-15,11-20,171,178
20-1,1-15,11-4,171,200
20-1,1-15,11-7,171,200
20-1,1-15,12-1,171,112
20-1,1-15,12-19,171,200
20-1,1-15,12-20,171,200
20-1,1-15,12-7,171,200
20-1,1-15,13-14,171,200
20-1,1-15,13-18,171,116
20-1,1-15,13-19,171,200
20-1,1-15,13-20,171,185
20-1,1-15,13-3,171,200
20-1,1-15,13-7,171,200
20-1,1-15,14-11,171,200
20-1,1-15,14-12,171,200
20-1,1-15,14-13,171,200
20-1,1-15,14-14,171,200
20-1,1-15,14-20,171,200
20-1,1-15,14-8,171,200
20-1,1-15,14-9,171,200
20-1,1-15,15-1,171,200
20-1,1-15,15-19,171,200
20-1,1-15,15-6,171,200
20-1,1-15,16-1,171,200
20-1,1-15,16-16,171,200
20-1,1-15,16-19,171,200
20-1,1-15,16-20,171,200
20-1,1-15,16-5,171,200
20-1,1-15,17-10,171,200
20-1,1-15,17-11,171,200
20-1,1-15,18-1,171,86
20-1,1-15,18-10,171,200
20-1,1-15,18-11,171,200
20-1,1-15,18-12,171,200
20-1,1-15,18-13,171,200
20-1,1-15,18-14,171,200
20-1,1-15,18-15,171,200
20-1,1-15,18-16,171,200
20-1,1-15,18-17,171,200
20-1,1-15,18-2,171,104
20-1,1-15,18-20,171,200
20-1,1-15,18-4,171,150
20-1,1-15,18-5,171,200
20-1,1-15,18-7,171,200
20-1,1-15,18-8,171,200
20-1,1-15,18-9,171,200
20-1,1-15,19-1,171,200
20-1,1-15,19-10,171,200
20-1,1-15,19-11,171,200
20-1,1-15,19-12,171,200
20-1,1-15,19-13,171,200
20-1,1-15,19-14,171,200
20-1,1-15,19-19,171,140
20-1,1-15,19-2,171,200
20-1,1-15,19-20,171,200
20-1,1-15,19-3,171,200
20-1,1-15,19-4,171,200
20-1,1-15,19-6,171,200
20-1,1-15,19-7,171,200
20-1,1-15,19-8,171,200
20-1,1-15,19-9,171,200
20-1,1-15,2-1,171,125
20-1,1-15,2-12,171,200
20-1,1-15,2-13,171,200
20-1,1-15,2-14,171,200
20-1,1-15,2-15,171,200
20-1,1-15,2-16,171,154
20-1,1-15,2-17,171,200
20-1,1-15,2-19,171,200
20-1,1-15,2-20,171,185
20-1,1-15,2-3,171,200
20-1,1-15,2-4,171,200
20-1,1-15,2-5,171,200
20-1,1-15,2-6,171,131
20-1,1-15,2-7,171,200
20-1,1-15,2-8,171,200
20-1,1-15,20-1,171,200
20-1,1-15,20-12,171,200
20-1,1-15,20-14,171,200
20-1,1-15,20-16,171,200
20-1,1-15,20-18,171,200
20-1,1-15,20-20,171,200
20-1,1-15,20-3,171,135
20-1,1-15,20-4,171,200
20-1,1-15,20-5,171,200
20-1,1-15,20-7,171,200
20-1,1-15,20-8,171,200
20-1,1-15,3-1,171,200
20-1,1-15,3-13,171,200
20-1,1-15,3-18,171,200
20-1,1-15,3-19,171,200
20-1,1-15,3-2,171,200
20-1,1-15,3-20,171,200
20-1,1-15,3-8,171,200
20-1,1-15,4-1,171,200
20-1,1-15,4-10,171,157
20-1,1-15,4-11,171,200
20-1,1-15,5-1,171,200
20-1,1-15,5-16,171,200
20-1,1-15,5-20,171,200
20-1,1-15,5-5,171,200
20-1,1-15,6-1,171,200
20-1,1-15,6-6,171,200
20-1,1-15,7-10,171,200
20-1,1-15,7-11,171,200
20-1,1-15,7-12,171,200
20-1,1-15,7-13,171,200
20-1,1-15,7-14,171,200
20-1,1-15,7-20,171,200
20-1,1-15,7-7,171,200
20-1,1-15,7-8,171,200
20-1,1-15,7-9,171,200
20-1,1-15,8-1,171,200
20-1,1-15,8-13,171,200
20-1,1-15,8-14,171,200
20-1,1-15,8-18,171,200
20-1,1-15,8-3,171,200
20-1,1-15,8-7,171,177
20-1,1-15,8-8,171,200
20-1,1-15,9-1,171,200
20-1,1-15,9-14,171,164
20-1,1-15,9-20,171,200
20-1,1-15,9-7,171,200
20-1,1-16,1-18,200,200
20-1,1-16,1-19,200,183
20-1,1-16,1-2,200,174
20-1,1-16,1-8,200,200
20-1,1-16,10-1,200,166
20-1,1-16,10-10,200,155
20-1,1-16,10-11,200,200
20-1,1-16,10-17,200,200
20-1,1-16,10-4,200,200
20-1,1-16,10-7,200,200
20-1,1-16,11-1,200,200
20-1,1-16,11-10,200,200
20-1,1-16,11-17,200,150
20-1,1-16,11-19,200,200
20-1,1-16,11-20,200,178
20-1,1-16,11-4,200,200
20-1,1-16,11-7,200,200
20-1,1-16,12-1,200,112
20-1,1-16,12-19,200,200
20-1,1-16,12-20,200,200
20-1,1-16,12-7,200,200
20-1,1-16,13-14,200,200
20-1,1-16,13-18,200,116
20-1,1-16,13-19,200,200
20-1,1-16,13-20,200,185
20-1,1-16,13-3,200,200
20-1,1-16,13-7,200,200
20-1,1-16,14-11,200,200
