cell_id,method,new_class_count,k_shot,receiver,seed,scenario,baseline_method,comparison_relation,old_acc_before_increment,baseline_old_acc_before_increment,delta_old_acc_before_increment,old_acc_after_increment,baseline_old_acc_after_increment,delta_old_acc_after_increment,seen_new_acc,baseline_seen_new_acc,delta_seen_new_acc,H_old_new,baseline_H_old_new,delta_H_old_new,candidate_average_forgetting,baseline_candidate_average_forgetting,delta_candidate_average_forgetting,min_old_class_acc,baseline_min_old_class_acc,delta_min_old_class_acc
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713101,leo_clear_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.7083333333333334,0.725,-0.016666666666666607,0.02,0.01,0.01,0.038901601830663615,0.019727891156462583,0.019173710674201032,0.15833333333333333,0.14166666666666672,0.016666666666666607,0.0,0.05,-0.05
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.85,0.8833333333333333,-0.033333333333333326,0.0,0.002,-0.002,0.0,0.003990963855421687,-0.003990963855421687,0.01666666666666672,-0.016666666666666607,0.033333333333333326,0.55,0.75,-0.19999999999999996
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713101,leo_rain_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.875,0.8833333333333333,-0.008333333333333304,0.012,0.008,0.004,0.023675310033821874,0.015856394913986535,0.007818915119835339,-0.008333333333333304,-0.016666666666666607,0.008333333333333304,0.75,0.75,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713101,leo_clear_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.4166666666666667,0.4583333333333333,-0.04166666666666663,0.178,0.178,0.0,0.2494394618834081,0.2564169722367732,-0.0069775103533650795,0.45,0.4083333333333334,0.04166666666666663,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.5083333333333333,0.4083333333333333,0.09999999999999998,0.19,0.18,0.010000000000000009,0.27661097852028643,0.2498583569405099,0.026752621579776537,0.3583333333333334,0.45833333333333337,-0.09999999999999998,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713101,leo_rain_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.4583333333333333,0.4083333333333333,0.04999999999999999,0.182,0.19,-0.008000000000000007,0.2605413846954711,0.25933147632311976,0.0012099083723513537,0.4083333333333334,0.45833333333333337,-0.04999999999999999,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,mopc_hr_official_repo_cvs_adapter,25,20,20-1,713101,leo_clear_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.38333333333333336,0.375,0.00833333333333336,0.304,0.316,-0.01200000000000001,0.3390882638215325,0.34298118668596234,-0.0038929228644298264,0.48333333333333334,0.4916666666666667,-0.00833333333333336,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,mopc_hr_official_repo_cvs_adapter,25,20,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.5083333333333333,0.4666666666666667,0.04166666666666663,0.24,0.264,-0.02400000000000002,0.3260579064587973,0.3372262773722628,-0.011168370913465508,0.3583333333333334,0.4,-0.04166666666666663,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,mopc_hr_official_repo_cvs_adapter,25,20,20-1,713101,leo_rain_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.425,0.4166666666666667,0.008333333333333304,0.21,0.208,0.0020000000000000018,0.2811023622047244,0.2774813233724653,0.003621038832259116,0.4416666666666667,0.45,-0.008333333333333304,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_5,mopc_hr_official_repo_cvs_adapter,25,5,20-1,713101,leo_clear_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.675,0.6583333333333333,0.01666666666666672,0.124,0.116,0.007999999999999993,0.20951188986232794,0.1972449418854929,0.01226694797683503,0.19166666666666665,0.20833333333333337,-0.01666666666666672,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_5,mopc_hr_official_repo_cvs_adapter,25,5,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.575,0.5916666666666667,-0.01666666666666672,0.118,0.116,0.001999999999999988,0.1958152958152958,0.19397079604333492,0.0018444997719608835,0.29166666666666674,0.275,0.01666666666666672,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_5,mopc_hr_official_repo_cvs_adapter,25,5,20-1,713101,leo_rain_weak,mopc_hr_official_repo,strict_same_cell,0.8666666666666667,0.8666666666666667,0.0,0.48333333333333334,0.5666666666666667,-0.08333333333333331,0.09,0.098,-0.008000000000000007,0.1517441860465116,0.16710130391173522,-0.015357117865223618,0.38333333333333336,0.30000000000000004,0.08333333333333331,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_1,mopc_hr_official_repo_sequential5_cvs_adapter,25,1,20-1,713101,leo_clear_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.36666666666666664,0.725,-0.35833333333333334,0.03,0.01,0.019999999999999997,0.055462184873949584,0.019727891156462583,0.035734293717487,0.5,0.14166666666666672,0.3583333333333333,0.0,0.05,-0.05
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_1,mopc_hr_official_repo_sequential5_cvs_adapter,25,1,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.008333333333333333,0.8833333333333333,-0.875,0.042,0.002,0.04,0.01390728476821192,0.003990963855421687,0.009916320912790233,0.8583333333333334,-0.016666666666666607,0.875,0.0,0.75,-0.75
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_1,mopc_hr_official_repo_sequential5_cvs_adapter,25,1,20-1,713101,leo_rain_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.425,0.8833333333333333,-0.4583333333333333,0.038,0.008,0.03,0.06976241900647948,0.015856394913986535,0.05390602409249294,0.4416666666666667,-0.016666666666666607,0.4583333333333333,0.0,0.75,-0.75
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_10,mopc_hr_official_repo_sequential5_cvs_adapter,25,10,20-1,713101,leo_clear_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.05,0.4583333333333333,-0.4083333333333333,0.142,0.178,-0.036000000000000004,0.07395833333333332,0.2564169722367732,-0.18245863890343986,0.8166666666666667,0.4083333333333334,0.40833333333333327,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_10,mopc_hr_official_repo_sequential5_cvs_adapter,25,10,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.06666666666666667,0.4083333333333333,-0.3416666666666667,0.146,0.18,-0.034,0.09153605015673981,0.2498583569405099,-0.15832230678377007,0.8,0.45833333333333337,0.3416666666666667,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_10,mopc_hr_official_repo_sequential5_cvs_adapter,25,10,20-1,713101,leo_rain_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.0,0.4083333333333333,-0.4083333333333333,0.122,0.19,-0.068,0.0,0.25933147632311976,-0.25933147632311976,0.8666666666666667,0.45833333333333337,0.4083333333333333,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_20,mopc_hr_official_repo_sequential5_cvs_adapter,25,20,20-1,713101,leo_clear_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.0,0.375,-0.375,0.17,0.316,-0.146,0.0,0.34298118668596234,-0.34298118668596234,0.8666666666666667,0.4916666666666667,0.375,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_20,mopc_hr_official_repo_sequential5_cvs_adapter,25,20,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.016666666666666666,0.4666666666666667,-0.45,0.142,0.264,-0.12200000000000003,0.029831932773109242,0.3372262773722628,-0.30739434459915355,0.85,0.4,0.44999999999999996,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_20,mopc_hr_official_repo_sequential5_cvs_adapter,25,20,20-1,713101,leo_rain_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.008333333333333333,0.4166666666666667,-0.4083333333333333,0.11,0.208,-0.09799999999999999,0.015492957746478873,0.2774813233724653,-0.26198836562598643,0.8583333333333334,0.45,0.4083333333333334,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_5,mopc_hr_official_repo_sequential5_cvs_adapter,25,5,20-1,713101,leo_clear_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.36666666666666664,0.6583333333333333,-0.2916666666666667,0.056,0.116,-0.060000000000000005,0.0971608832807571,0.1972449418854929,-0.1000840586047358,0.5,0.20833333333333337,0.29166666666666663,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_5,mopc_hr_official_repo_sequential5_cvs_adapter,25,5,20-1,713101,leo_low_elev_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.3333333333333333,0.5916666666666667,-0.25833333333333336,0.06,0.116,-0.05600000000000001,0.10169491525423728,0.19397079604333492,-0.09227588078909764,0.5333333333333334,0.275,0.2583333333333334,0.0,0.0,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_5,mopc_hr_official_repo_sequential5_cvs_adapter,25,5,20-1,713101,leo_rain_weak,mopc_hr_official_repo,single_stage_reference_not_equivalent,0.8666666666666667,0.8666666666666667,0.0,0.38333333333333336,0.5666666666666667,-0.1833333333333333,0.038,0.098,-0.060000000000000005,0.06914556962025317,0.16710130391173522,-0.09795573429148205,0.48333333333333334,0.30000000000000004,0.1833333333333333,0.0,0.0,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,3,1,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,3,1,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,3,1,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.16666666666666666,0.825,-0.6583333333333333,0.4666666666666667,0.0,0.4666666666666667,0.2456140350877193,0.0,0.2456140350877193,0.6583333333333333,0.0,0.6583333333333333,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,3,10,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,3,10,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,3,10,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,3,20,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.825,0.825,0.0,0.0,0.0,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,3,20,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.825,0.825,0.0,0.0,0.0,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,3,20,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.825,0.825,0.0,0.0,0.0,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,3,5,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,3,5,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,3,5,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.025,0.825,-0.7999999999999999,0.4666666666666667,0.0,0.4666666666666667,0.04745762711864407,0.0,0.04745762711864407,0.7999999999999999,0.0,0.7999999999999999,0.0,0.55,-0.55
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713102,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713102,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713102,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713102,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713102,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713102,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713102,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713102,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713102,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713102,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713102,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713102,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.4,-0.4
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713102,leo_clear_weak,mopc_hr_official_repo,strict_same_cell,0.8833333333333333,0.8833333333333333,0.0,0.8833333333333333,0.9,-0.01666666666666672,0.006,0.006,0.0,0.011919040479760121,0.011920529801324504,-1.4893215643831115e-06,0.0,-0.01666666666666672,0.01666666666666672,0.7,0.75,-0.050000000000000044
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713102,leo_low_elev_weak,mopc_hr_official_repo,strict_same_cell,0.8833333333333333,0.8833333333333333,0.0,0.8833333333333333,0.875,0.008333333333333304,0.01,0.012,-0.002,0.019776119402985074,0.023675310033821874,-0.0038991906308367998,0.0,0.008333333333333304,-0.008333333333333304,0.65,0.6,0.050000000000000044
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713102,leo_rain_weak,mopc_hr_official_repo,strict_same_cell,0.8833333333333333,0.8833333333333333,0.0,0.8583333333333333,0.7583333333333333,0.09999999999999998,0.008,0.004,0.004,0.015852250865717586,0.007958023611718408,0.007894227253999178,0.025000000000000022,0.125,-0.09999999999999998,0.7,0.2,0.49999999999999994
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713102,leo_clear_weak,mopc_hr_official_repo,strict_same_cell,0.8833333333333333,0.8833333333333333,0.0,0.375,0.35,0.025000000000000022,0.246,0.224,0.021999999999999992,0.2971014492753623,0.2731707317073171,0.023930717568045212,0.5083333333333333,0.5333333333333333,-0.025000000000000022,0.0,0.0,0.0
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713102,leo_low_elev_weak,mopc_hr_official_repo,strict_same_cell,0.8833333333333333,0.8833333333333333,0.0,0.475,0.475,0.0,0.146,0.17,-0.02400000000000002,0.22334943639291463,0.2503875968992248,-0.027038160506310166,0.4083333333333333,0.4083333333333333,0.0,0.0,0.0,0.0
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713102,leo_rain_weak,mopc_hr_official_repo,strict_same_cell,0.8833333333333333,0.8833333333333333,0.0,0.48333333333333334,0.5166666666666667,-0.03333333333333338,0.154,0.154,0.0,0.23357740585774062,0.23727634194831013,-0.00369893609056951,0.39999999999999997,0.3666666666666666,0.03333333333333338,0.0,0.0,0.0
