arm,feature_path,checkpoint_load_strict,missing_keys,unexpected_keys,shape_mismatch,tta_view_count,fft_dim,adapter_epochs,uses_target_labels_for_training
E20,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E20\FULL_RX_20-1\ADV3B02_FULL_ADAPTER5_FFT96_E20\features_full_adapter5_fft96_e20.npz,True,0,0,0,5,96,20,False
E20,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E20\FULL_RX_3-19\ADV3B02_FULL_ADAPTER5_FFT96_E20\features_full_adapter5_fft96_e20.npz,True,0,0,0,5,96,20,False
E20,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E20\FULL_RX_7-14\ADV3B02_FULL_ADAPTER5_FFT96_E20\features_full_adapter5_fft96_e20.npz,True,0,0,0,5,96,20,False
E20,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E20\FULL_RX_7-7\ADV3B02_FULL_ADAPTER5_FFT96_E20\features_full_adapter5_fft96_e20.npz,True,0,0,0,5,96,20,False
E20,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E20\FULL_RX_8-8\ADV3B02_FULL_ADAPTER5_FFT96_E20\features_full_adapter5_fft96_e20.npz,True,0,0,0,5,96,20,False
E30,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E30\FULL_RX_20-1\ADV3B02_FULL_ADAPTER5_FFT96_E30\features_full_adapter5_fft96_e30.npz,True,0,0,0,5,96,30,False
E30,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E30\FULL_RX_3-19\ADV3B02_FULL_ADAPTER5_FFT96_E30\features_full_adapter5_fft96_e30.npz,True,0,0,0,5,96,30,False
E30,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E30\FULL_RX_7-14\ADV3B02_FULL_ADAPTER5_FFT96_E30\features_full_adapter5_fft96_e30.npz,True,0,0,0,5,96,30,False
E30,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E30\FULL_RX_7-7\ADV3B02_FULL_ADAPTER5_FFT96_E30\features_full_adapter5_fft96_e30.npz,True,0,0,0,5,96,30,False
E30,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E30\FULL_RX_8-8\ADV3B02_FULL_ADAPTER5_FFT96_E30\features_full_adapter5_fft96_e30.npz,True,0,0,0,5,96,30,False
E5,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E5\FULL_RX_20-1\ADV3B02_FULL_ADAPTER5_FFT96_E5\features_full_adapter5_fft96_e5.npz,True,0,0,0,5,96,5,False
E5,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E5\FULL_RX_3-19\ADV3B02_FULL_ADAPTER5_FFT96_E5\features_full_adapter5_fft96_e5.npz,True,0,0,0,5,96,5,False
E5,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E5\FULL_RX_7-14\ADV3B02_FULL_ADAPTER5_FFT96_E5\features_full_adapter5_fft96_e5.npz,True,0,0,0,5,96,5,False
E5,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E5\FULL_RX_7-7\ADV3B02_FULL_ADAPTER5_FFT96_E5\features_full_adapter5_fft96_e5.npz,True,0,0,0,5,96,5,False
E5,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E5\FULL_RX_8-8\ADV3B02_FULL_ADAPTER5_FFT96_E5\features_full_adapter5_fft96_e5.npz,True,0,0,0,5,96,5,False
E60,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E60\FULL_RX_20-1\ADV3B02_FULL_ADAPTER5_FFT96_E60\features_full_adapter5_fft96_e60.npz,True,0,0,0,5,96,60,False
E60,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E60\FULL_RX_3-19\ADV3B02_FULL_ADAPTER5_FFT96_E60\features_full_adapter5_fft96_e60.npz,True,0,0,0,5,96,60,False
E60,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E60\FULL_RX_7-14\ADV3B02_FULL_ADAPTER5_FFT96_E60\features_full_adapter5_fft96_e60.npz,True,0,0,0,5,96,60,False
E60,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E60\FULL_RX_7-7\ADV3B02_FULL_ADAPTER5_FFT96_E60\features_full_adapter5_fft96_e60.npz,True,0,0,0,5,96,60,False
E60,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E60\FULL_RX_8-8\ADV3B02_FULL_ADAPTER5_FFT96_E60\features_full_adapter5_fft96_e60.npz,True,0,0,0,5,96,60,False
singlehead_fft96_paired,E:\type10-7\local_artifacts\qknnv42_singlehead_fft96_paired_features_20260715\FULL_RX_20-1\ADV3B02_SINGLEHEAD_FFT96_PAIRED\features_singlehead_fft96_paired.npz,True,0,0,0,1,96,0,False
singlehead_fft96_paired,E:\type10-7\local_artifacts\qknnv42_singlehead_fft96_paired_features_20260715\FULL_RX_3-19\ADV3B02_SINGLEHEAD_FFT96_PAIRED\features_singlehead_fft96_paired.npz,True,0,0,0,1,96,0,False
singlehead_fft96_paired,E:\type10-7\local_artifacts\qknnv42_singlehead_fft96_paired_features_20260715\FULL_RX_7-14\ADV3B02_SINGLEHEAD_FFT96_PAIRED\features_singlehead_fft96_paired.npz,True,0,0,0,1,96,0,False
singlehead_fft96_paired,E:\type10-7\local_artifacts\qknnv42_singlehead_fft96_paired_features_20260715\FULL_RX_7-7\ADV3B02_SINGLEHEAD_FFT96_PAIRED\features_singlehead_fft96_paired.npz,True,0,0,0,1,96,0,False
singlehead_fft96_paired,E:\type10-7\local_artifacts\qknnv42_singlehead_fft96_paired_features_20260715\FULL_RX_8-8\ADV3B02_SINGLEHEAD_FFT96_PAIRED\features_singlehead_fft96_paired.npz,True,0,0,0,1,96,0,False
